,year,All industries,Private industries,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Manufacturing,Durable goods,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Nondurable goods,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Finance, insurance, real estate, rental, and leasing",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Professional and business services,"Professional, scientific, and technical services",Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals and nursing and residential care facilities,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government",Government,Federal,General government,National defense,Nondefense,Government enterprises,State and local,Addenda:,Private goods-producing industries [1],Private services-producing industries [2],Private goods-producing industries\1\,Private services-producing industries\2\,Information-communications-technology-producing industries\3\
0,1947,471889,431975,32163,30576,1587,10822,3737,5565,1520,6005,21209,185043,80934,5288,3715,14288,11805,10053,3801,5048,14913,4293,2553,5179,104109,45594,13269,14622,7102,2718,8131,9989,2683,19601,37140,,,,,23708,,,,,,,,,11433,,,,,36265,11179,,,,,25086,23118,,,1967,12864,5619,,,,5198,2046,,,7143,1430,5713,,,,,,17401,3075,,,14326,2521,11806,11178,39914,25784,24014,,,1771,14129,,249237.0,182739.0,,,
1,1948,502514,461215,36513,34615,1897,13643,5442,6137,2063,7053,27806,186753,81705,5090,3883,12446,12046,9930,3636,4793,16955,4728,2408,5788,105048,45082,13219,14314,6941,3275,7864,11798,2555,19223,40922,,,,,25300,,,,,,,,,12535,,,,,39991,12177,,,,,27814,25667,,,2147,14238,6228,,,,5781,2229,,,8072,1612,6460,,,,,,17392,3045,,,14347,2370,11976,11776,41299,25421,23541,,,1880,15878,,264714.0,196501.0,,,
2,1949,510344,465413,30732,29034,1698,12551,4856,5672,2024,7391,28501,190747,86061,4895,4045,12342,12609,9776,3456,4521,21057,5134,2366,5860,104686,44531,13166,14008,6778,3409,8471,11899,2424,20348,41138,,,,,25527,,,,,,,,,13523,,,,,42967,12700,,,,,30267,28000,,,2266,14672,6530,,,,5779,2364,,,8362,1674,6688,,,,,,17074,3003,,,14071,2303,11768,11877,44931,27290,25262,,,2028,17641,,262533.0,202880.0,,,
3,1950,577814,531971,33395,31221,2175,14119,5241,6503,2374,8331,35618,224523,108393,6648,5032,16661,15653,11024,4528,5460,28173,5180,3245,6787,116130,46134,15778,14563,8126,3582,10538,14175,3234,24753,45390,,,,,28638,,,,,,,,,14532,,,,,47572,14213,,,,,33359,30858,,,2501,16341,7233,,,,6442,2666,,,8909,1787,7122,,,,,,17313,2942,,,14371,2350,12021,12537,45842,26681,24849,,,1832,19161,,307656.0,224316.0,,,
4,1951,654590,593257,38890,36409,2480,16228,6040,7376,2812,9370,37759,253097,122615,7805,5674,19455,20276,14015,5231,6700,24883,8000,3502,7074,130482,50719,16619,15396,10401,3741,12934,16616,4056,27070,48504,,,,,31997,,,,,,,,,15850,,,,,53243,16080,,,,,37163,34364,,,2799,18839,8326,,,,7425,3088,,,9593,1929,7664,,,,,,19295,2994,,,16301,2554,13748,13520,61332,40622,38853,,,1769,20711,,345974.0,247284.0,,,
5,1952,685974,612097,38222,35741,2481,16579,6267,7123,3189,10370,39339,255627,126268,7656,5514,18198,21426,15335,6574,6926,22321,11492,3538,7288,129360,51388,15030,15378,9655,4083,13534,16437,3854,27234,50491,,,,,33229,,,,,,,,,17306,,,,,58099,17106,,,,,40993,37947,,,3047,20359,9152,,,,7816,3392,,,10611,2138,8473,,,,,,20494,3104,,,17390,2702,14688,14136,73877,51642,48916,,,2726,22235,,349767.0,262330.0,,,
6,1953,739244,659457,34801,32217,2584,18062,6896,7677,3488,11642,41869,284172,145708,7671,5936,23169,24458,15645,8078,7582,29439,12276,3903,7550,138464,56555,15258,16074,10820,4849,13422,17374,4112,27751,52737,,,,,34814,,,,,,,,,18886,,,,,64809,19782,,,,,45027,41671,,,3355,22096,10011,,,,8345,3740,,,11500,2322,9179,,,,,,21308,3218,,,18089,2860,15229,15012,79786,56104,53101,,,3004,23682,,378904.0,280553.0,,,
7,1954,739892,662294,34575,32167,2408,17997,7136,7131,3730,12651,44038,277287,138992,7424,5924,22800,20323,14465,7656,6866,28204,14287,3686,7358,138295,58287,13698,16179,11007,5223,13872,16302,3726,29855,52909,,,,,30416,,,,,,,,,19545,,,,,69993,21565,,,,,48429,44797,,,3632,22891,10664,,,,8262,3966,,,12606,2548,10058,,,,,,21864,3384,,,18480,2983,15496,15667,77598,52070,48709,,,3361,25528,,373897.0,288397.0,,,
8,1955,802620,722069,34430,31611,2819,19905,7644,8202,4058,14006,48586,306225,160414,8602,6883,29059,21839,16066,7837,7432,36822,13634,4251,7990,145811,57392,14755,17201,12473,5736,15398,18262,4593,33358,57205,,,,,33365,,,,,,,,,21182,,,,,75233,23791,,,,,51442,47480,,,3963,25404,11886,,,,9149,4369,,,13448,2727,10722,,,,,,22795,3646,,,19150,3113,16036,16928,80551,52530,49054,,,3476,28021,,409145.0,312924.0,,,
9,1956,841770,758844,34479,31594,2886,21215,8229,8739,4247,15424,51604,317804,167085,8450,7284,31122,23517,18263,9397,8584,32127,15224,4565,8550,150718,58227,14218,17910,13520,6184,17220,18904,4537,35895,59251,,,,,35381,,,,,,,,,22544,,,,,80229,25725,,,,,54504,50177,,,4326,27731,13302,,,,9590,4839,,,14912,3028,11884,,,,,,24015,3909,,,20105,3306,16799,18360,82926,52567,49211,,,3356,30359,,425102.0,333742.0,,,
