,Title,IOP: B-E: PRODUCTION: CVMSA,IOP: B:MINING AND QUARRYING: CVMSA,IOP: C:MANUFACTURING: CVMSA,IOP: CA:Manufacture of Food products beverages and tobacco: CVMSA,IOP: CB:Manufacture of textiles wearing apparel and leather products: CVMSA,IOP: CC:Manufacture of wood and paper products and printing: CVMSA,IOP: CD:Manufacture of coke and refined petroleum product: CVMSA,IOP: CE:Manufacture of chemicals and chemical products: CVMSA,IOP: CF:Manuf Of Basic Pharmaceutical Prods & Pharmaceutical Preparations:CVMSA,IOP: CG:Manuf of rubberplastics prods & other non-metallic mineral prods:CVMSA,IOP: CH:Manufacture of basic metals and metal products: CVMSA,IOP: CI:Manufacturing of computer electronic & optical products: CVMSA,IOP: CJ:Manufacture of electrical equipment: CVMSA,IOP: CK:Manufacture of machinery and equipment n.e.c.: CVMSA,IOP: CL:Manufacture of transport equipment: CVMSA,IOP: CM:Other manufacturing and repair: CVMSA,IOP: D:ELECTRICITY GAS STEAM AND AIR CONDITIONING SUPPLY: CVMSA,IOP: E:WATER SUPPLY;SEWERAGEWASTE MANAGEMENT & REMEDIATION ACTIVITIES: CVMSA,IOP: C-HINE:Other Manufacturing: CVMSA,IOP: EAI:Engineering and Allied Industries: CVMSA,IOP: MIG-IG:Main Industrial Groupings - Intermediate Goods: CVMSA,IOP: MIG-COG:Main Industrial Groupings - Consumer Goods: CVMSA,IOP: MIG-CD:Main Industrial Groupings - Consumer Durables: CVMSA,IOP: MIG-CND:Main Industrial Groupings - Consumer Non-Durables: CVMSA,IOP: MIG-CAG:Main Industrial Groupings - Capital Goods: CVMSA,IOP: MIG-NRG:Main Industrial Groupings - Energy: CVMSA,"IOP: B+CCDGHKM Mining & quarrying (plus sub sector CC, CD, CG, CH, CK, CM) CVMSA",IOP: CE-CF Mfr of chemical & chemical prods + mrf of basic pharm & preps CVMSA
6,1948,27.9,571.4,26.3,36.7,39.4,16.2,23.7,5.3,9,26.7,0,3.1,15.1,38.8,42.7,30.1,10.9,30.8,,,,,,,,,,
7,1949,29.8,589.3,28.2,38.2,42.6,18.3,26.6,5.8,10,28.3,0,3.4,16.7,43,43.5,32.2,11.7,33.1,,,,,,,,,,
8,1950,31.9,594.4,30.3,39.3,45.8,20.6,30,6.7,11.4,30.4,0,3.9,18.8,47.7,46.9,35.5,12.7,36.4,,,,,,,,,,
9,1951,32.9,612.4,31.2,38.6,45,21.5,35.3,7,12,32.2,0,4,19.9,50.8,47,37,13.5,38.5,,,,,,,,,,
10,1952,31.6,618.4,29.7,39.7,39.1,18.1,41.1,6.2,10.6,30.6,0,4,19.9,50.3,43,34.5,13.9,36.7,,,,,,,,,,
11,1953,33.6,617.6,31.8,41.9,44.5,20.1,45.2,7.3,12.4,31.9,0,4.3,20.1,49.3,44.5,36,14.7,39.4,,,,,,,,,,
12,1954,35.3,623.3,33.5,42.1,45.7,23.4,48.4,8,13.6,34.1,0,4.7,21.7,52.6,51.6,40.6,15.9,44.2,,,,,,,,,,
13,1955,37.3,609.7,35.6,43.2,45.3,25.2,50.7,8.4,14.3,35.8,0,5.2,23.4,55.6,54.8,43.2,16.7,46.8,,,,,,,,,,
14,1956,37.3,611,35.5,44.2,44.9,24.6,54,8.8,15,34.9,0,5.1,23.4,56,51.9,41.8,17.5,46.3,,,,,,,,,,
15,1957,38.2,608.1,36.4,44.9,44.5,25.4,53.3,9.3,15.9,35,0,5.4,24.6,57.9,53.1,43.6,18.2,48.3,,,,,,,,,,
16,1958,37.8,565.1,36,46.2,40.8,25.8,57.3,9.4,16.1,34.3,0,5.8,24.8,55.5,51.5,42.7,18.9,48.6,,,,,,,,,,
17,1959,39.7,543.2,38.1,47.7,43.7,27.5,61.4,10.5,18,37.6,0,6.3,26.3,56.8,54.3,46.3,19.5,53,,,,,,,,,,
18,1960,42.5,519,41.2,49.1,45.7,30.2,67.2,11.7,20,41.3,0,6.7,28.3,61.8,57.5,50.1,21,57.5,,,,,,,,,,
19,1961,42.7,504.7,41.2,50.6,45,29.9,70.1,11.9,20.4,42.7,0,7.1,30.1,66.7,52.6,50.6,21.9,59.1,,,,,,,,,,
20,1962,43,521,41.4,51.6,43.5,30,68.8,12.4,21.3,43.3,0,7.4,30.7,66.4,53.1,51.2,23.7,61.3,,,,,,,,,,
21,1963,44.5,519.1,42.8,53.1,44.7,31.1,70.9,13.5,23.1,45.1,0,7.8,31.6,66.3,55.5,53.3,24.9,64.4,,,,,,,,,,
22,1964,48.1,509,46.7,54.3,47.3,34.6,77.9,15,25.5,52.3,0,8.5,34.4,72.5,57.8,59.5,26.2,72,,,,,,,,,,
23,1965,49.5,486.2,48.1,55.7,48.8,35.4,83.1,16,27.4,53.6,0,8.5,35.4,76.6,59.5,61.7,27.9,75.6,,,,,,,,,,
24,1966,50.3,451.2,48.9,57.3,48.8,36.3,88.4,17,29,53.9,0,9.1,37.9,81.2,58.9,63.3,29,77.4,,,,,,,,,,
25,1967,50.7,442.2,49.2,58.3,47.3,36.5,84.8,18,30.8,56,0,9.7,39.3,81.5,56.9,64.6,30.1,80.1,,,,,,,,,,
26,1968,54.3,393.6,52.9,60.3,58.2,38.4,93.4,20.1,33.3,60.9,128.4,10.4,41.4,85.7,60.7,71.6,29.5,82.1,,,,,,,,,,
27,1969,56.2,362.7,54.8,62.2,58.5,39.3,103.9,21.2,35.2,61.6,133.5,11.3,44.3,90.2,62.6,72.9,31.4,83.8,,,,,,,,,,
28,1970,56.5,336.3,55,63.2,57.6,39.3,115.2,22.4,37.2,60.7,131.3,11.7,45.6,92.2,60.7,73.1,33,85.6,,,,,,,,,,
29,1971,56.2,329.5,54.5,63.7,59.2,38.3,120.7,23,38.1,63.5,121.2,11.7,44.6,87.6,61.2,73,34.6,88.2,,,,,,,,,,
30,1972,57.1,265.1,55.6,66.2,60.2,40.3,122.4,24.1,40,67.4,122,12.1,44.7,83.4,61.7,75.1,37.3,94.3,,,,,,,,,,
31,1973,62.3,296.8,60.8,69.6,63.3,44.7,131.9,27.2,45.1,76,132.3,13.8,50.3,92,65.3,84.6,39.7,105.4,,,,,,,,,,
32,1974,61.1,250.6,60,69.1,60,43.4,129.4,28.1,46.7,71,125.6,14.4,52.9,97.8,62.5,81.3,39.9,100,,,,,,,,,,
33,1975,57.7,283,55.9,67.1,57.9,38.4,108,25.2,41.8,65.9,111.8,13.6,50.8,95.9,57.9,76.7,40.7,96.4,,,,,,,,,,
34,1976,59.6,265.8,56.9,69.1,57.9,40.1,115.3,28.5,47.2,68.1,115.4,13.5,49.5,92.2,57.4,78.8,41.4,101.2,,,,,,,,,,
35,1977,62.7,258.5,58,70.2,59.8,41.5,113.2,29.1,48.2,68.3,116.3,14,50.7,91.7,59.3,80.1,43.1,103.7,,,,,,,,,,
36,1978,64.5,259.1,58.3,71.8,59.4,42.8,114,29.5,49,69.3,113.1,14.7,51.8,89.5,58,81.2,44.1,106.6,,,,,,,,,,
37,1979,67,311.8,58.2,73,57.8,44.1,117.3,30.3,50.3,69.7,113,14.7,51,86.5,56.2,78,46.2,105,,,,,,,,,,
38,1980,62.6,316.3,53.2,72.5,49.7,39.8,102.9,27.2,45.2,62.9,91.9,14.4,48.8,79.5,53.1,67.1,46.3,92.5,,,,,,,,,,
39,1981,60.6,330.3,49.9,71.2,45.6,37.2,98.3,27.1,44.9,56.8,88.8,13.5,45,71.1,49.1,61.2,47.6,89.1,,,,,,,,,,
40,1982,61.8,354,49.8,72.4,44.8,36.1,97.5,27.1,45,56.7,88.2,14.1,46.6,72.1,47.6,59.3,47,85.6,,,,,,,,,,
41,1983,64,357.1,50.9,73.2,46.4,37.2,99,28.9,47.9,60.6,89.5,15.6,49.3,69.5,47.3,56.7,48.8,83,,,,,,,,,,
42,1984,64.1,336,52.8,73.9,48.1,38.9,96.9,30.7,51,63.8,92.9,17.4,53.6,70.8,46,59.1,39.3,77.8,,,,,,,,,,
43,1985,67.6,369.3,54.3,73.5,49.9,39.4,107.8,31.8,52.8,64.3,93.8,18.5,56.6,73.8,47.7,60.7,49.4,86.5,,,,,,,,,,
44,1986,69.2,368.9,55,74,48.2,41,119.1,32.3,53.6,68,91.7,18.3,55.8,72.2,49.4,62.3,58.2,93.7,,,,,,,,,,
45,1987,72,369.1,57.7,76.3,50.1,45,104.3,35,58.1,74.1,96.2,19.2,58,72.7,51.7,65.1,59.9,98.6,,,,,,,,,,
46,1988,75.5,337.8,61.8,77.8,49.9,49.6,103.9,36.8,61,81.3,105.2,21.4,64.3,79.3,56.9,71.9,59.9,103.3,,,,,,,,,,
47,1989,77.1,298.6,64.3,77.9,48.4,51.2,109.4,38.5,64,83.7,108.5,23,68.3,81.8,63.6,74.2,60.5,103,,,,,,,,,,
48,1990,76.8,285.4,64.2,79.2,47.8,51.5,104.3,38.5,63.8,82.5,107.6,23.2,68.8,82.2,62.4,74.6,62.2,104.5,,,,,,,,,,
49,1991,74.3,298.4,61,79,43,48.2,112.7,39.5,65.6,76.4,98.2,22.3,65,73.6,58.2,67.6,66,102.8,,,,,,,,,,
50,1992,74.5,307,61,80.4,43.2,48.4,119.3,40.8,67.6,75.9,93.8,22.7,65.1,70.7,57.1,66.9,67.7,104.1,,,,,,,,,,
51,1993,76.1,327.6,61.8,80.6,43.1,49.9,119.8,41.7,69.2,79.3,92.9,23.9,67.9,70.8,56.2,67.8,71.2,109,,,,,,,,,,
52,1994,80.3,376.9,64.8,82.7,44,51.9,120.9,43.8,72.7,85.3,95.2,26.8,75.2,74.7,57.8,71.5,68.9,112.7,,,,,,,,,,
53,1995,81.7,389.6,65.8,81.2,42.6,51.4,134.1,46.1,76.4,85.5,97.9,28.7,79.4,75.2,57.8,72.2,70.9,115.8,,,,,,,,,,
54,1996,82.8,402,66.3,82.5,41.8,50.5,123.7,46.3,77,83.6,97.9,30.1,82.3,74,61.6,74.1,75.8,119.4,,,,,,,,,,
55,1997,85,390.3,68.5,85.8,42.7,51.4,131.3,48.9,79.7,85,99.9,33.1,85.4,76.7,64,75.7,79.1,119.4,76,60.5,74.9,64,42.4,73.3,58.6,175.9,112.6,62.2
56,1998,87.7,376.3,71,86.9,41.9,56.4,140,52.9,78.8,85.6,102.3,37.9,87.1,82.4,63.7,78.1,86.6,118.6,77.3,64,76.6,66.5,47.5,74.1,61.9,184.5,115.7,65.1
57,1999,91.9,373.4,74.3,87.2,43.2,60.8,105.4,57.4,88.8,91.6,107.2,39.4,88.4,85.2,65.8,85.3,105.8,110.6,81.2,66.5,80.7,68.9,49.2,76.7,65,199.5,120.8,71.7
58,2000,93.7,340.4,77.6,89.7,45.3,61.6,113.1,59.8,92.5,97.1,110.3,39.1,94.4,88.9,75.2,86.3,88.1,116.6,84.1,70.2,82.6,72,49.8,81,68.5,177.7,122.1,74.7
59,2001,96.5,318.9,79,86.7,46.7,63.6,95.1,58.1,98.4,102.7,108.1,41.3,111,91.1,81.6,82.5,120.8,115.9,86.8,73.3,84.1,73.2,52,81.7,70.6,191.6,120.5,75.5
60,2002,97.5,306.1,81.6,89.8,48.7,67.7,100.9,60.8,107.1,95.9,106.8,54,119.4,94.8,76.2,85,107,111.9,84.3,77.3,84.7,79.1,61.8,85.8,74.2,180.9,120.1,80.6
61,2003,100.1,285.6,83.9,95.5,48.7,73,79.2,65.9,103.2,99.7,107.6,47.6,125.9,100.8,81.1,84.9,122.4,116,89.8,78.1,87.2,80,56.7,89.2,75.4,183.9,121.2,82.4
62,2004,99.6,270.6,85.6,100.4,46.5,79.1,109.6,57.9,106.6,101.9,99.1,56.2,105.3,108.6,87.1,83.6,103.5,108.2,90.7,83.3,82.4,84.8,62.3,93.6,81.9,168,121.1,78.9
63,2005,98.6,242.2,87.2,94,45.5,83.2,81.3,66.6,114,102.9,101.6,58.1,105.5,109.9,90.7,86.8,83,111.5,95.2,85.5,84.8,85.6,65.5,93.2,84.3,143.1,119.9,87.1
64,2006,102,211.5,92.6,101.5,49.7,85.1,87.2,68.7,128.2,100.1,100.7,67.9,110.6,113.9,99.9,97.4,92.8,103.2,95.4,93.8,86,94.3,75.3,101.3,93.2,136.1,118.5,94.4
65,2007,100.4,193.4,92.8,99.9,57.7,88.8,58.9,63.1,128,95.4,97.9,72.1,112.4,122.9,99,98.9,87.3,102.1,96.8,95.8,84.2,95.7,79.6,101.6,95.4,126,116.1,91
66,2008,99.1,174.4,93.6,95.1,55.4,88.6,63.1,61.8,141.4,83.7,97.7,85.1,118,118,111.7,94.5,80.7,101.8,91.3,102.4,80.3,98.4,87,102.5,101.8,117.4,109.9,96
67,2009,92.3,159.8,85.2,96.2,67.8,81.5,84.3,60.4,120,76.9,76.5,89.7,95.8,87.5,86.5,94.3,81.7,104,87.9,88.3,72.3,94.2,88.4,96.3,89.2,114.3,97.8,85.9
68,2010,91.1,141.6,86.5,88.8,74.8,82.8,75.5,61.1,119.3,81,81.4,89.2,85,101.1,89.2,101.4,77,99.8,88.5,92,75.3,91.2,90,91.8,94.2,105.1,99.5,85.9
69,2011,86.2,104.4,85.4,83.9,53.1,75.6,33.5,50.7,113.3,81.2,84.5,93.3,92.9,111,104.9,97.6,70,93.3,84.3,100,71.7,88.4,92.7,87.2,101.6,85.1,91.3,78
