"Date","Annual average yield from British Government Securities, 10 year Nominal Par Yield              [a]             IUAAMNPY"
"31 Dec 22","2.4532"
"31 Dec 21","0.7898"
"31 Dec 20","0.3741"
"31 Dec 19","0.9324"
"31 Dec 18","1.4607"
"31 Dec 17","1.2366"
"31 Dec 16","1.2981"
"31 Dec 15","1.9032"
"31 Dec 14","2.5685"
"31 Dec 13","2.3921"
"31 Dec 12","1.9162"
"31 Dec 11","3.1241"
"31 Dec 10","3.618"
"31 Dec 09","3.6481"
"31 Dec 08","4.5948"
"31 Dec 07","5.0133"
"31 Dec 06","4.5023"
"31 Dec 05","4.4114"
"31 Dec 04","4.8806"
"31 Dec 03","4.5291"
"31 Dec 02","4.8919"
"31 Dec 01","4.9279"
"31 Dec 00","5.3289"
"31 Dec 99","5.1028"
"31 Dec 98","5.5465"
"31 Dec 97","7.0491"
"31 Dec 96","7.8064"
"31 Dec 95","8.2016"
"31 Dec 94","8.1382"
"31 Dec 93","7.5611"
"31 Dec 92","9.1201"
"31 Dec 91","10.1322"
"31 Dec 90","11.7211"
"31 Dec 89","10.2677"
"31 Dec 88","9.7938"
"31 Dec 87","9.7182"
"31 Dec 86","10.2052"
"31 Dec 85","11.1617"
"31 Dec 84","11.4319"
